,county,deductions_of_all_returns_in_thousands,dependent_exemptions_of_all_returns_in_thousands,income_class,income_class_sort_order,number_of_all_returns,ny_agi_of_all_returns_in_thousands,place_of_residence,place_of_residence_sort_order,resident_type,state,tax_before_credits_of_all_returns_in_thousands,tax_liability_of_all_returns_in_thousands,tax_year,taxable_income_of_all_returns_in_thousands,difference_in_rates,dual_status,expected_rate_per_100,medicaid_county_population,medicaid_ppv_events,observed_rate_per_100,patient_county,risk_adjusted_rate_per_100,year
59,Kings,965137.055,56355.872,"40,000 - 49,999",6,85807,3844177.072,New York City - Kings,2,Full-Year Resident,New York,146153.92,126751.585,2014,2822684.145,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
60,Kings,770358.035,41431.842,"50,000 - 59,999",7,66123,3618439.473,New York City - Kings,2,Full-Year Resident,New York,152280.543,140170.278,2014,2806649.596,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
61,Kings,770358.035,41431.842,"50,000 - 59,999",7,66123,3618439.473,New York City - Kings,2,Full-Year Resident,New York,152280.543,140170.278,2014,2806649.596,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
62,Kings,770358.035,41431.842,"50,000 - 59,999",7,66123,3618439.473,New York City - Kings,2,Full-Year Resident,New York,152280.543,140170.278,2014,2806649.596,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
63,Kings,842236.285,41768.194,"60,000 - 74,999",8,68018,4559015.164,New York City - Kings,2,Full-Year Resident,New York,206504.583,194928.084,2014,3675010.685,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
64,Kings,842236.285,41768.194,"60,000 - 74,999",8,68018,4559015.164,New York City - Kings,2,Full-Year Resident,New York,206504.583,194928.084,2014,3675010.685,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
65,Kings,842236.285,41768.194,"60,000 - 74,999",8,68018,4559015.164,New York City - Kings,2,Full-Year Resident,New York,206504.583,194928.084,2014,3675010.685,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
66,Kings,984970.487,47581.131,"75,000 - 99,999",9,71257,6146521.705,New York City - Kings,2,Full-Year Resident,New York,296520.713,283065.202,2014,5113970.087,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
67,Kings,984970.487,47581.131,"75,000 - 99,999",9,71257,6146521.705,New York City - Kings,2,Full-Year Resident,New York,296520.713,283065.202,2014,5113970.087,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
68,Kings,984970.487,47581.131,"75,000 - 99,999",9,71257,6146521.705,New York City - Kings,2,Full-Year Resident,New York,296520.713,283065.202,2014,5113970.087,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
69,Kings,1401074.902,66804.135,"100,000 - 199,999",10,81226,10926243.442,New York City - Kings,2,Full-Year Resident,New York,595710.612,572650.076,2014,9458364.405,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
70,Kings,1401074.902,66804.135,"100,000 - 199,999",10,81226,10926243.442,New York City - Kings,2,Full-Year Resident,New York,595710.612,572650.076,2014,9458364.405,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
71,Kings,1401074.902,66804.135,"100,000 - 199,999",10,81226,10926243.442,New York City - Kings,2,Full-Year Resident,New York,595710.612,572650.076,2014,9458364.405,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
72,Kings,226358.971,9958,"200,000 - 249,999",11,10732,2384790.293,New York City - Kings,2,Full-Year Resident,New York,143060.455,137488.918,2014,2148473.322,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
73,Kings,226358.971,9958,"200,000 - 249,999",11,10732,2384790.293,New York City - Kings,2,Full-Year Resident,New York,143060.455,137488.918,2014,2148473.322,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
74,Kings,226358.971,9958,"200,000 - 249,999",11,10732,2384790.293,New York City - Kings,2,Full-Year Resident,New York,143060.455,137488.918,2014,2148473.322,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
75,Kings,360654.264,16072,"250,000 - 499,999",12,14944,5005742.87,New York City - Kings,2,Full-Year Resident,New York,313150.619,297778.996,2014,4629016.606,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
76,Kings,360654.264,16072,"250,000 - 499,999",12,14944,5005742.87,New York City - Kings,2,Full-Year Resident,New York,313150.619,297778.996,2014,4629016.606,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
77,Kings,360654.264,16072,"250,000 - 499,999",12,14944,5005742.87,New York City - Kings,2,Full-Year Resident,New York,313150.619,297778.996,2014,4629016.606,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
78,Kings,321357.196,9454,"500,000 and over",13,6900,9944739.364,New York City - Kings,2,Full-Year Resident,New York,753570.565,679236.438,2014,9613928.168,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
79,Kings,321357.196,9454,"500,000 and over",13,6900,9944739.364,New York City - Kings,2,Full-Year Resident,New York,753570.565,679236.438,2014,9613928.168,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
80,Kings,321357.196,9454,"500,000 and over",13,6900,9944739.364,New York City - Kings,2,Full-Year Resident,New York,753570.565,679236.438,2014,9613928.168,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
81,Kings,11787784.049,608940.23,Total,14,1138249,56877626.011,New York City - Kings,2,Full-Year Resident,New York,2848028.683,2338423.779,2014,45595461.367,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
82,Kings,11787784.049,608940.23,Total,14,1138249,56877626.011,New York City - Kings,2,Full-Year Resident,New York,2848028.683,2338423.779,2014,45595461.367,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
83,Kings,11787784.049,608940.23,Total,14,1138249,56877626.011,New York City - Kings,2,Full-Year Resident,New York,2848028.683,2338423.779,2014,45595461.367,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
84,Queens,222071.968,2.608,"Under 5,000",1,154385,-253071.823,New York City - Queens,4,Full-Year Resident,New York,280.733,-8076.58,2014,7010.781,-2.79,Dual,19.33,117416,19418,16.54,Queens,20.49,2014
85,Queens,222071.968,2.608,"Under 5,000",1,154385,-253071.823,New York City - Queens,4,Full-Year Resident,New York,280.733,-8076.58,2014,7010.781,-3.5,Total,27.76,1049358,254565,24.26,Queens,26.88,2014
86,Queens,222071.968,2.608,"Under 5,000",1,154385,-253071.823,New York City - Queens,4,Full-Year Resident,New York,280.733,-8076.58,2014,7010.781,-3.58,Non-Dual,28.81,931942,235147,25.23,Queens,27.89,2014
87,Queens,755965.402,1628.692,"5,000 - 9,999",2,110703,836967.03,New York City - Queens,4,Full-Year Resident,New York,3177.451,-22085.491,2014,79372.936,-2.79,Dual,19.33,117416,19418,16.54,Queens,20.49,2014
88,Queens,755965.402,1628.692,"5,000 - 9,999",2,110703,836967.03,New York City - Queens,4,Full-Year Resident,New York,3177.451,-22085.491,2014,79372.936,-3.5,Total,27.76,1049358,254565,24.26,Queens,26.88,2014
89,Queens,755965.402,1628.692,"5,000 - 9,999",2,110703,836967.03,New York City - Queens,4,Full-Year Resident,New York,3177.451,-22085.491,2014,79372.936,-3.58,Non-Dual,28.81,931942,235147,25.23,Queens,27.89,2014
90,Queens,1849011.038,79524.874,"10,000 - 19,999",3,181623,2678343.145,New York City - Queens,4,Full-Year Resident,New York,30361.358,-72684.894,2014,749807.233,-2.79,Dual,19.33,117416,19418,16.54,Queens,20.49,2014
91,Queens,1849011.038,79524.874,"10,000 - 19,999",3,181623,2678343.145,New York City - Queens,4,Full-Year Resident,New York,30361.358,-72684.894,2014,749807.233,-3.5,Total,27.76,1049358,254565,24.26,Queens,26.88,2014
92,Queens,1849011.038,79524.874,"10,000 - 19,999",3,181623,2678343.145,New York City - Queens,4,Full-Year Resident,New York,30361.358,-72684.894,2014,749807.233,-3.58,Non-Dual,28.81,931942,235147,25.23,Queens,27.89,2014
